DNI,REG,PROM,NOTA
1A88969207,False,False,2
1A25337431,True,True,7
1A81480556,True,False,4
1A73222192,False,False,1
1A43792605,False,False,0
1A22078503,True,False,6
1A72160705,True,False,6
1A77673770,False,False,0
1A15325122,True,False,6
1A90217022,False,False,1
1A96686803,False,False,0
1A99457161,False,False,1
1A42558140,True,False,5
1A93143664,True,False,4
1A32183768,False,False,0
1A60333075,True,True,8
1A53484192,True,True,8
1A23815599,True,True,7
1A86902649,True,True,8
1A46491835,False,False,0
1A21481310,False,False,3
1A32288514,False,False,0
1A16692642,False,False,0
1A63599715,True,False,6
1A66462809,False,False,0
1A18244816,False,False,2
1A96693356,False,False,2
1A54559563,False,False,1
1A31943261,True,False,5
1A47421567,False,False,4
1A28954743,True,False,5
1A98118435,False,False,0
1A49108498,False,False,0
1A97171663,True,True,8
1A10675506,True,False,4
1A20994508,False,False,0
1A84888390,False,False,3
1A90207357,False,False,0
1A82690189,True,False,4
1A41258110,False,False,0
1A33719933,False,False,0
1A60885630,True,False,5
1A70467241,True,True,7
1A61825775,True,True,7
1A80918503,True,True,9
1A80583232,False,False,0
1A31171103,True,False,6
1A48464698,True,True,8
1A17154638,False,False,3
1A28847648,False,False,0
1A45426351,True,True,7
1A71529247,False,False,1
1A68106728,True,True,8
1A21741131,True,True,8
1A43981272,True,True,9
1A48767720,True,True,7
1A34367960,False,False,0
1A58933732,True,True,8
1A21458513,False,False,0
1A80674945,False,False,0
1A42615233,False,False,1
1A58689438,False,False,1
1A76644213,False,False,2
1A40343154,True,True,9
1A24202231,False,False,0
1A44903450,False,False,0
1A15232941,False,False,0
1A98219610,False,False,0
1A40571604,True,False,5
1A60810064,True,False,6
1A19708546,True,False,6
1A18739243,False,False,1
1A73752161,True,True,7
1A78130360,True,False,4
1A87074801,True,True,8
1A94954905,False,False,1
1A97020015,False,False,0
1A71372906,True,True,7
1A59165038,True,False,4
1A43168985,False,False,2
1A46132195,True,True,7
1A53062256,False,False,2
1A51129219,False,False,0
1A59533431,True,True,7
1A35389814,True,False,5
1A36884107,False,False,0
1A49481223,True,True,7
1A31713263,True,False,6
1A38321862,False,False,2
1A83328629,False,False,1
1A86962462,False,False,2
1A28067517,True,False,6
1A34528274,False,False,0
1A65673666,True,True,8
1A74837665,False,False,0
1A94382583,False,False,2
1A20088791,True,False,6
1A40536340,False,False,3
1A88658708,True,True,7
1A86272864,False,False,0
1A93635610,True,False,6
1A25122180,True,True,7
1A81226124,False,False,0
1A64681184,False,False,1
1A71873435,True,True,8
1A80222355,False,False,4
1A58648540,False,False,0
1A15196636,True,False,6
1A13363261,False,False,2
1A98411949,True,True,9
1A44732681,False,False,2
1A93438503,True,True,8
1A50848017,False,False,0
1A57217129,False,False,0
1A50835919,False,False,0
1A57837562,True,True,7
1A68118482,False,False,2
1A88250477,False,False,0
1A65342827,True,False,6
1A15728111,True,False,5
1A44986502,True,True,9
1A46343204,True,False,6
1A89365518,False,False,0
1A73089560,True,True,8
1A64113162,True,True,9
1A43593123,False,False,1
1A90283984,True,False,6
1A20880305,True,False,6
1A59263111,False,False,0
1A86963071,False,False,1
1A49711191,True,False,6
1A81029700,True,True,7
1A27763199,True,True,8
1A25527414,True,False,6
1A50867778,False,False,0
1A64452625,True,True,9
1A67246825,False,False,1
1A14574978,True,True,8
1A39386932,False,False,0
1A37051484,False,False,0
1A15514622,True,True,8
1A98469755,False,False,0
1A39854293,True,False,5
1A74232391,False,False,1
1A27285995,False,False,0
1A58990652,True,False,6
1A79368088,False,False,0
1A14772082,False,False,0
1A24750090,True,True,8
1A43693273,False,False,0
1A21844006,False,False,1
1A86043915,True,True,8
1A88082939,True,True,7
1A94282191,True,False,6
1A79258803,True,False,6
1A15424849,True,True,8
1A60870043,False,False,0
1A51038822,False,False,0
1A66609345,False,False,0
1A61866451,False,False,0
1A14731032,False,False,1
1A61799781,False,False,0
1A79556214,False,False,4
1A65829801,False,False,0
1A57633595,False,False,2
1A49670208,False,False,0
1A82095966,False,False,1
1A74748274,False,False,0
1A14760814,True,True,10
1A35192876,False,False,0
1A33086961,False,False,0
1A10332864,False,False,0
1A74727897,False,False,0
1A23890519,True,False,6
